388,55
425,83
449,105
469,130
486,159
498,188
508,220
512,266
509,310
501,343
489,373
473,402
453,429
429,452
391,478
348,500
317,506
285,512
252,511
220,506
189,498
147,478
109,451
86,428
66,403
49,374
37,345
29,313
26,268
30,222
38,192
50,162
68,134
86,108
109,86
147,60
188,40
218,32
249,27
282,25
314,30
345,39
368,92
351,122
335,151
319,179
302,208
472,267
436,266
402,265
369,265
334,267
370,444
352,414
336,384
318,355
301,326
167,443
184,413
202,384
218,354
233,325
65,269
100,268
133,267
167,267
200,267
166,93
184,123
200,152
217,181
233,211
269,265
