370,24,354,63,400,88,425,54
425,54,400,88,423,110,454,78
454,78,423,110,442,129,476,103
476,103,442,129,459,155,498,132
498,132,459,155,473,183,514,163
514,163,473,183,482,208,524,195
524,195,482,208,488,239,534,234
534,234,488,239,491,291,535,296
535,296,491,291,484,321,527,333
527,333,484,321,476,348,518,364
518,364,476,348,460,377,503,399
503,399,460,377,446,402,482,430
482,430,446,402,428,423,460,454
460,454,428,423,405,444,432,480
432,480,405,444,356,472,374,511
374,511,356,472,330,482,341,523
341,523,330,482,300,488,308,530
308,530,300,488,270,490,270,534
270,534,270,490,241,488,234,530
234,530,241,488,212,484,200,524
200,524,212,484,184,473,162,512
162,512,184,473,135,446,114,479
107,479,134,444,113,425,83,457
83,457,113,425,94,404,61,430
61,430,94,404,77,380,40,402
40,402,77,380,64,352,23,369
23,369,64,352,54,327,15,337
15,337,54,327,48,297,8,303
8,303,48,297,50,242,7,238
7,238,50,242,54,214,12,203
12,203,54,214,62,186,24,171
24,171,62,186,76,159,39,138
39,138,76,159,93,133,59,109
59,109,93,133,111,112,82,82
82,82,111,112,133,92,107,61
107,61,133,92,181,65,163,27
163,27,181,65,208,55,196,16
196,16,208,55,235,49,229,9
229,9,235,49,268,47,268,5
268,5,268,47,296,47,303,7
303,7,296,47,327,53,335,14
335,15,327,53,352,60,368,23
352,65,337,92,383,119,398,91
337,92,320,122,365,148,383,119
320,122,304,153,351,177,365,148
304,153,288,180,333,205,351,177
288,180,272,208,317,234,333,205
487,239,454,239,455,291,487,291
454,239,421,239,421,291,455,291
421,239,388,239,388,291,421,291
388,239,353,239,353,291,388,291
353,239,319,239,319,291,353,291
402,443,385,416,340,440,355,470
385,416,368,385,323,413,340,440
368,385,351,357,305,383,323,413
351,357,333,327,289,355,305,383
333,327,318,300,272,325,289,355
182,470,199,441,153,416,137,443
199,441,215,413,169,387,153,416
215,413,232,383,186,358,169,387
232,383,249,354,201,327,186,358
249,354,265,325,219,300,201,327
51,293,82,293,81,243,51,243
82,293,116,293,116,243,81,243
116,293,149,293,149,243,116,243
149,293,183,293,183,243,149,243
183,293,215,293,215,243,183,243
137,94,152,121,197,95,181,68
152,121,169,150,214,124,197,95
169,150,186,178,230,150,214,124
186,178,203,208,248,180,230,150
203,208,218,237,266,210,248,180
218,239,218,294,317,294,317,238
