22,22,22,86,88,86,89,22
89,22,88,86,139,85,138,23
138,23,139,85,188,84,187,24
187,24,188,84,238,84,238,24
238,24,238,85,305,84,305,24
305,24,305,87,353,84,353,23
353,23,353,84,403,84,403,23
403,23,403,84,453,84,403,23
403,23,453,84,519,84,519,23
453,84,519,84,453,135,519,135
519,135,453,135,453,185,519,185
519,185,453,185,453,235,519,235
519,235,453,235,453,300,519,300
519,300,453,300,453,350,519,350
519,350,453,350,453,400,519,400
519,400,453,400,453,450,519,450
519,450,453,450,453,515,519,515
453,515,453,450,406,450,407,515
407,515,406,450,356,450,357,515
357,515,356,450,306,450,306,515
306,515,306,450,239,450,239,515
245,515,245,450,186,450,186,515
195,515,195,450,138,450,138,515
145,515,145,450,88,450,88,515
88,515,88,450,24,450,24,515
24,450,88,450,88,400,24,400
24,400,88,400,88,350,24,350
24,350,88,350,88,300,24,300
24,300,88,300,88,237,24,237
24,237,88,237,88,187,24,187
24,197,88,197,88,137,24,137
24,147,88,147,88,87,24,87
304,87,241,87,241,136,304,136
304,136,241,136,241,186,304,186
304,186,241,186,241,235,304,235
454,300,454,235,404,235,404,300
404,300,404,235,354,235,354,300
354,300,354,235,304,235,304,300
240,450,303,450,304,402,241,403
241,403,304,402,304,352,241,352
241,352,304,352,304,302,241,302
90,237,90,300,138,300,138,237
138,237,138,300,188,300,188,237
188,237,188,300,238,300,238,237
238,237,238,300,304,301,305,237
